class,cap-diameter,cap-shape,cap-color,stem-width
p,3.01,o,k,14.18
p,4.66,x,r,7.3
p,8.04,x,n,31.2
p,2.44,b,n,3.48
p,4.22,f,n,5.09
p,1.01,x,w,1.52
e,6.02,f,n,9.63
e,3.59,x,e,6.26
p,16.62,f,n,37.37
e,8.1,f,w,30.09
p,6.69,s,r,10.96
p,1.26,f,y,5.64
e,9.93,s,g,22.04
e,8.69,x,n,17.64
e,2.85,b,n,2.94
e,10.35,x,n,18.59
e,10.9,p,w,12.62
e,15.59,x,n,18.12
p,9.72,s,p,17.25
p,4.21,x,e,7
p,4.03,f,w,3.55
e,3.09,b,g,2.99
p,5.33,x,o,8.82
p,8.02,f,n,10.58
p,3.85,s,u,7.79
e,3.67,x,n,10.6
p,1.46,b,n,1.51
p,11.1,x,n,29.82
p,5.9,f,n,7.2
p,3.76,f,w,2.87
e,3.17,f,g,5.73
e,1.95,s,n,2.35
e,2.89,b,n,2.96
p,7.39,b,n,6.85
e,3.96,b,g,3.01
p,1.81,x,n,2.76
e,6.47,x,g,11.95
p,3.73,b,n,3.19
p,4.64,f,n,6.1
e,9.6,x,n,17.64
e,5.89,x,n,5.81
e,4.58,f,y,4.28
p,2.26,x,e,2.29
p,5.9,c,y,7.44
p,0.8,x,p,1.02
p,3.5,f,u,6.77
p,7.1,x,n,25.93
e,20.03,f,n,18.6
e,19.84,f,n,17.77
p,7.35,s,p,9.88
p,7.7,f,n,11.68
p,4.27,f,y,4.51
e,3.85,f,n,6.76
e,1.68,x,g,2.36
e,7.34,f,n,10.53
e,6.7,x,w,12.11
p,9.15,x,n,15.5
p,1.63,x,n,2.42
p,4.39,o,r,0
e,11.17,f,b,20.4
p,5.7,s,e,7.84
e,11.31,f,w,16.34
e,1.61,x,y,2.3
p,7.48,b,g,13.69
p,4.08,s,n,4.79
p,10.31,s,n,25.11
p,1.78,x,n,2.53
e,4.07,f,n,6.63
p,1.59,b,n,1.49
p,7.77,x,u,20.56
e,7.6,x,p,19.66
e,6.99,s,o,12.82
e,9.91,f,g,23.37
e,3.93,x,n,5.86
p,2.66,x,n,2.58
p,3.69,s,u,4.74
p,8.35,b,n,18.18
p,1.64,x,n,2.4
e,3.24,x,n,9.62
p,3.18,s,n,7.38
p,12.75,x,n,27.09
e,7.83,x,y,15.57
p,16.77,f,e,19.23
e,4.51,x,n,11.91
e,5.66,s,n,8.77
p,6,x,g,8.81
p,4.87,f,n,5.17
e,6.9,x,n,13.99
p,0.54,x,y,0.71
e,11.1,x,l,21.97
p,5.96,b,n,6.63
p,3.57,b,e,3.72
p,3.89,x,w,2.98
p,6.19,f,g,11.53
p,3.5,o,o,0
p,4.59,b,g,10.98
p,13.67,x,n,31.36
p,11.67,p,n,30.6
e,6.07,x,g,3.98
p,11.34,x,y,25.99
p,2.16,x,n,2.32
p,9.74,p,w,19.63
p,1.54,x,n,2.56
e,2.98,b,n,3.19
p,9.43,x,n,25.97
p,4.01,x,y,3.64
p,3.05,b,k,2.34
p,7.74,x,e,17.62
e,16.05,x,n,17.94
e,8.69,x,y,17.65
e,8.8,x,n,16.3
e,5.79,x,w,12.37
e,7.51,x,n,26.1
p,7.19,f,p,10.4
e,5.62,x,n,10.13
e,4.94,f,g,6.56
e,7.5,x,g,24.72
e,6.13,x,y,13.35
p,19.83,x,o,45.85
e,16.96,p,n,19.79
e,8.02,f,u,15.55
p,3.05,s,w,2.47
p,2.72,f,p,5.58
p,2.76,s,w,2.52
p,1.16,b,n,2.36
p,0.73,x,o,0.93
e,2.57,x,u,4.39
e,4.62,x,y,13.05
p,4.65,s,n,5.91
p,1.25,s,y,5.71
e,1.68,x,u,4.01
e,9.38,x,n,25.08
e,3.55,f,w,5.36
p,4.29,x,o,5.14
p,4.12,x,y,3.41
p,6.53,f,g,11.8
e,1.08,b,g,1.58
e,3.56,c,g,17.56
e,8.25,p,n,14.25
p,7.23,x,r,12.34
e,7.56,s,y,16.43
e,6.1,f,k,9.54
e,8.05,x,n,13.15
p,5.1,f,y,13.43
e,9.94,x,y,16.44
e,9.3,x,u,15.41
p,8.12,x,y,8.31
p,1.26,s,y,5.79
p,4.17,x,n,5.91
e,13.53,f,b,18.05
e,6.49,x,n,12.58
p,7.06,f,y,11.7
p,3.44,o,g,0
p,15.02,x,o,16.81
p,7.26,x,n,7.91
e,2.35,s,n,3.87
e,56.24,o,y,49.46
p,2.11,b,y,2.94
e,8.83,f,y,18.11
p,11.67,x,n,24.41
e,10.12,x,n,24.4
e,3.86,x,n,9.76
p,7.79,f,g,11.22
e,5.62,b,g,3.36
e,14.06,f,w,17.75
e,7.77,f,e,21.01
e,6.18,s,n,7.81
p,1.62,p,n,2.57
p,3.63,x,r,7.38
p,2.51,x,n,7.66
p,4.99,x,r,8.22
p,16.61,x,n,31.67
p,7.49,x,n,8.97
p,1.49,b,n,1.4
e,12.19,x,n,18.98
e,7.39,x,e,11.62
p,7.97,x,r,15.29
p,2.74,f,w,3.46
p,1.14,x,n,2.17
e,5.04,x,n,4.15
e,12.51,s,g,21.53
e,4.1,x,w,3.92
p,4.03,s,u,8.37
e,4.09,b,g,3.71
e,5.48,f,y,10.61
e,10.96,f,n,22.12
p,10.2,f,n,12.08
p,4.22,f,n,4.81
e,6.5,c,g,22.31
p,21.64,f,e,35.56
e,9.79,x,n,12.96
p,10.09,x,n,13.52
p,3.85,x,p,6.53
p,4.17,o,r,0
p,4.8,b,n,5.9
e,8.18,x,n,9.59
p,0.55,x,o,0.82
p,8.08,b,w,15.14
e,6.07,x,n,7.6
p,1.76,b,n,1.58
e,14.16,f,k,18.63
e,11.33,f,g,21.44
p,3.65,b,n,4.68
p,4.62,x,n,6.01
p,0.94,b,y,2.29
p,3.12,x,n,2.77
p,6.9,x,n,13.82
e,9.29,x,n,16.9
p,5.21,b,y,8.72
p,4.16,x,o,6.93
p,5.16,c,y,6.53
e,7.82,s,n,20.75
p,2.56,f,u,3.44
p,2.92,b,y,5.99
p,13.24,x,y,33.58
p,12.7,s,n,33.86
e,8.2,p,g,13.59
p,7.99,s,n,10.2
e,1.5,x,b,3.93
e,0.91,f,n,0.86
e,2.91,x,u,5.09
e,5.65,x,y,15.62
p,9.63,x,n,17.06
e,4.33,s,o,10.85
e,10.25,p,n,16.85
e,5.73,f,n,11.58
p,10.12,p,n,27.38
p,2.21,f,y,2.86
p,5.22,f,y,12.98
p,12.72,x,n,33.42
e,6.17,x,n,16.22
e,7.11,f,u,15.22
e,3.7,x,n,5.19
p,3.36,x,w,2.42
p,1.85,x,n,2.54
p,5.46,f,g,10.36
e,2.11,s,n,3.46
e,16.52,p,e,35.4
e,6.49,x,n,5.17
p,2.29,p,n,2.65
p,7.35,b,w,11.74
p,7.86,x,p,11.27
e,2.13,f,n,2.64
p,7.85,x,n,13.9
e,5.27,f,n,11.13
p,2.57,b,y,6.51
p,3.82,f,b,3.31
e,48.83,o,y,39.99
p,3.84,x,y,3.49
p,3.15,o,k,13.92
p,6.52,x,k,9.11
e,44.93,o,y,14.35
p,3.79,x,o,5.93
e,7.83,f,w,30.66
p,7.33,x,g,15.62
e,3.93,x,n,7.06
e,6.59,s,n,7.44
e,2.11,s,n,3.53
p,7.11,x,w,14.46
e,6.68,c,n,12.99
p,13.38,x,n,30.34
p,14.16,f,o,16.19
p,7.64,x,n,13.47
p,1.3,p,n,2.27
e,14.36,p,n,57.86
e,8.15,f,w,12.13
e,1.45,x,n,2.24
p,15.28,f,o,17.87
e,9.54,f,y,17.28
e,3.27,b,n,3.36
e,7.28,x,w,7.94
p,3.74,f,n,3.06
p,2.98,o,g,11.49
e,5.97,s,n,6.93
p,7.21,s,p,15.19
p,6.6,c,y,13.45
p,10.35,x,n,13.4
e,3.49,b,w,3.12
e,4.28,x,y,8
p,7.83,x,n,11.54
p,3.18,x,n,3.5
p,2.69,b,k,2.41
e,7.56,x,e,11.59
p,4.99,x,n,5.98
p,5.9,x,r,15.56
p,9.23,x,n,14.16
p,12.31,x,n,12.86
e,4.33,x,y,14.46
e,7.94,p,g,15.51
e,5.5,x,n,7.24
e,16.29,x,n,34.41
e,8.28,x,k,11.85
e,6.54,p,g,22.66
e,8.34,s,w,18.41
p,2.48,x,n,7.12
p,4.12,o,w,30.76
e,9.69,s,g,22.75
e,11.9,x,n,22.65
e,10.84,x,y,19
e,11.56,f,n,23.65
p,3.56,f,n,2.89
e,4.58,x,o,12.56
p,9.07,f,e,17.28
e,4.32,x,o,11.82
e,10.76,x,n,23.27
p,7.22,f,y,15.58
p,5.3,x,g,9.93
p,10.95,x,y,30.57
e,9.61,x,n,14.93
e,5.2,s,w,9.59
e,10.15,f,e,25.4
p,3.15,o,k,13.04
e,2.43,f,n,3.12
p,9.41,x,n,17.15
e,15.26,x,n,18.32
p,14.91,s,n,37.3
p,6.11,f,y,13.55
e,9.72,p,n,17.97
e,3.62,x,b,11.91
p,3.41,o,w,30.87
e,9.99,x,n,17.17
p,5.4,x,p,12.29
p,7.64,f,y,13.91
p,14.17,x,w,18
p,2.72,b,n,2.44
p,10.16,p,n,29.62
p,7.85,p,n,16.55
p,1.26,f,y,5.28
p,6.01,x,k,7.95
e,5.89,x,n,12.32
p,6.58,f,n,8.41
p,5.8,b,e,9.08
p,5.98,x,w,12.24
e,6.17,f,u,14.52
e,12.97,s,n,24.87
p,5.5,x,p,12.29
p,10.47,x,y,24.33
p,6.2,b,g,12.05
p,6.07,s,n,12.53
e,7.48,x,n,14.99
p,2.87,x,n,10.55
p,1.4,o,n,1.7
p,4.51,x,w,12.34
e,8.48,f,w,28.82
p,8.29,x,e,17.56
e,5.88,f,g,8.22
e,5.2,x,y,13.09
p,3.9,b,n,4.01
p,4.5,c,y,7.27
e,3.79,f,w,12.82
e,8.86,x,w,31.29
p,3.19,b,n,2.4
e,12.45,x,n,22.53
p,8.33,s,r,13.26
e,8.5,x,g,17.37
p,3.9,b,n,6.15
e,6.59,x,w,10.05
e,10.4,f,b,15.43
p,3.11,o,g,0
p,8.3,b,w,12.63
e,6.99,x,n,11.32
p,5.53,x,g,14.49
p,1.35,x,n,2.53
e,10.48,x,n,16.62
e,12.33,x,l,22.51
e,6.47,x,y,13.26
p,4.02,x,n,3.85
p,7.02,f,y,15.67
e,6.78,f,y,23.47
p,4.94,x,l,6.9
p,5.4,x,w,12.69
p,8.69,x,y,10.79
e,16,x,n,18.11
e,6.1,x,n,9.2
e,9.03,f,n,14
p,9.78,p,n,28.87
p,3.13,x,o,6.23
e,3.34,b,n,2.99
p,5.77,x,e,7.96
p,7.59,x,w,15.68
p,5,b,e,7.83
p,2.21,x,l,2.42
p,5.82,x,e,10.33
p,6.78,x,n,6.22
p,3.12,f,o,6.11
p,2.95,o,g,0
p,18.08,s,n,36.56
e,3.17,b,n,3.1
e,14.58,p,w,20.18
p,2.11,x,l,2.76
e,4.4,f,g,4.09
e,20.79,f,n,22.1
p,7.82,x,p,10.29
p,6.16,s,y,6.12
e,7.6,x,y,12.67
e,4.9,x,n,9.03
p,1.03,x,w,1.7
e,16.13,f,n,25.79
e,12.74,x,w,16.01
e,2.53,x,n,6.1
p,7.08,s,y,14.61
p,11.69,x,n,17.03
p,8.13,x,n,14.38
p,3.45,f,o,6.11
e,1.82,f,n,2.51
e,3.91,b,w,3.19
e,5.48,f,g,8.29
e,10.9,s,w,23.1
e,2.37,x,b,4.78
e,9.82,s,g,18.93
p,3.93,f,p,6.98
e,10.13,x,r,19.27
e,6.75,x,n,12.9
e,9.35,x,n,24.05
p,2.82,b,k,2.34
e,5.98,o,n,20.14
e,4.03,x,r,7.57
p,18.54,f,w,33.06
e,4.53,b,g,4.53
e,8.37,x,n,12.75
e,8.32,x,g,24.37
p,4.91,f,y,12.23
p,6.78,x,n,8.34
p,15.19,x,w,24.6
p,10.09,x,y,16.89
p,3.84,s,u,7.65
p,4.65,o,w,0
p,2.69,b,n,4.15
p,4.2,b,n,4.05
p,2.79,x,o,6.09
p,3.83,b,n,6.19
p,4.43,x,y,6.55
p,3.19,b,n,4.45
p,4.82,b,n,4.59
e,8.6,f,y,15.39
p,9.27,x,n,27.51
e,4.63,x,y,8.53
p,1.96,b,g,1.85
e,5.17,o,n,41.43
p,5.94,x,n,8.75
e,7.03,x,b,9.93
e,52.19,o,y,39.58
p,10.94,s,r,15.85
e,11.27,x,n,17.99
e,4.62,x,n,10.54
p,8.14,f,n,9.82
e,5.39,f,n,11.93
p,6.97,f,r,9.35
e,10.85,f,w,13.18
e,9.4,f,n,25.5
e,5.07,x,n,8.52
p,6.66,x,n,6.25
p,4.11,o,r,0
p,16.82,f,n,38.36
p,12.57,x,n,35.24
e,6.91,x,y,17.51
e,5.35,s,n,8.43
p,2.47,f,w,3.44
p,6.03,f,y,10.83
e,10.68,f,y,14.54
e,3.53,s,y,5.88
e,6.36,s,y,15.5
p,7.73,s,g,12.24
e,6.44,x,g,5.5
e,3.4,f,n,5.71
e,8.13,x,y,14.39
p,14.91,f,n,31.91
p,5.08,x,y,12.29
p,8.41,s,e,9.59
p,6.95,x,y,8.7
e,6,f,k,10.17
p,5.25,x,w,13.05
p,8.05,p,n,16.86
p,1.87,x,n,2.66
p,5.73,x,e,9.84
e,7.59,x,y,16.57
e,7.9,x,n,12.57
e,6.38,x,n,6.14
e,7.09,x,w,28.51
e,3.9,x,o,12.44
p,0.89,b,y,2.33
e,1.4,x,n,1.83
p,3.41,b,n,4.56
e,5.62,x,n,5.53
p,2.11,b,y,3.21
e,18.45,x,o,35.11
e,5.57,f,g,10.43
p,1.33,b,y,2.57
p,8.5,x,n,23.74
e,11.94,f,g,24.11
p,7.88,f,w,9.6
p,4.69,o,w,31.36
e,0.82,c,e,0.97
p,3.15,f,b,2.17
e,6.76,p,w,11.88
p,1.42,b,n,1.24
e,8.23,p,g,13.31
e,17.17,x,n,23.55
e,19.16,p,n,82.65
p,2.6,c,u,3.4
e,4.69,x,n,5.39
p,3.19,x,n,3.45
p,9.66,f,r,14
p,7.7,s,n,12.95
e,4.69,f,y,11.73
e,3.35,s,n,4.95
e,7.34,f,w,27.94
p,11.72,x,n,13.66
p,3.38,o,g,0
e,6.21,f,g,10.52
p,8.38,p,w,18.32
e,48.34,o,y,30.16
e,8.14,x,y,21.57
e,6.65,x,g,11.98
e,7.38,x,n,10.79
e,3.74,f,w,6.97
p,7.62,f,p,9.06
e,3.26,b,n,2.89
e,5.5,x,n,6.25
p,7.67,b,w,13.45
e,5.14,x,y,7.54
p,2.71,x,w,2.31
e,10.48,x,n,17.69
e,6.74,f,g,10.97
p,1.37,s,y,6.22
p,9.46,x,n,23.77
p,4.62,s,e,4.84
e,10.86,x,n,21.97
p,1.91,x,k,2.37
e,3.14,b,n,2.68
e,9.11,p,w,11.94
e,10.56,s,n,21.94
p,0.96,x,w,1.54
p,5.32,f,g,9.86
p,8.78,x,n,9.71
p,7.73,x,g,17.62
p,10.27,s,g,23.19
e,9.21,p,w,11.48
e,9.59,x,n,17.97
e,7.89,x,w,7.54
e,9.35,x,n,10.08
p,2.63,f,o,5.91
p,9.43,x,r,16.45
p,5.82,p,g,11.25
p,1.48,x,n,2.47
e,8.22,f,w,29.44
p,4.73,x,n,5.77
e,3.97,x,l,6.68
p,2.49,o,w,25.59
e,6.72,x,n,9.34
e,7.28,f,n,11.06
e,7,f,k,16.04
e,4.19,x,n,7.87
p,16.7,s,n,34.76
e,15.41,x,n,17.38
p,5.38,c,w,12
e,7.29,x,y,14.05
p,7.62,x,y,9.09
e,4.45,x,n,11.4
e,4.13,x,o,10.78
p,4.5,x,l,7.63
e,8.18,f,n,17.04
p,1.52,b,o,2.7
p,0.68,x,p,0.86
e,5.91,x,w,11.04
p,9.86,s,r,12.34
p,12.39,f,n,14.51
p,3.64,o,y,0
p,12.27,f,o,17.17
e,5.01,x,n,5.07
p,8.08,p,w,17.75
e,3.52,x,g,7.37
p,10.91,x,n,23.73
p,10.19,x,r,14.4
p,6.67,b,n,12.57
p,15.03,f,o,16.74
e,6.95,x,y,13.53
e,9.61,x,l,19.67
e,4.07,x,n,6.78
p,6.71,x,n,6.83
e,6.78,s,w,9.1
p,3.86,f,u,5.16
p,9.59,p,n,36.51
e,9.54,p,n,18
e,6.87,x,y,11.56
p,1.47,x,n,2.47
p,3.67,x,r,6.37
p,5.77,x,n,10.51
p,8.84,x,n,8.1
e,7.69,s,y,16.99
p,6.29,s,o,7.72
e,5.3,f,k,10.04
p,3.26,x,w,8.04
p,6.38,s,n,6.24
p,8.43,f,y,19.76
e,8.45,f,n,14.77
e,13.99,x,n,18.93
e,6.47,x,g,5.88
p,17.31,x,e,18.47
e,3.89,f,p,6.95
p,2.04,f,y,2.87
e,2.75,s,p,5.99
p,13.77,f,n,18.1
e,7.06,f,p,20.14
e,4.32,f,g,3.82
e,5.41,x,y,13.93
e,7.77,f,n,10.03
p,10.44,x,n,29.13
e,13.07,f,l,17.83
p,4.67,b,n,6.28
p,8.06,x,n,26.21
p,8.76,p,n,26.74
p,1.56,x,y,2.61
p,4.39,x,p,12.91
e,53.26,o,y,43.28
e,7.33,s,n,8.43
p,2.9,b,n,4.58
p,5.81,c,y,13.6
p,8.37,x,g,19.37
e,6.25,x,g,4.71
p,6.8,f,n,8.33
p,6.25,f,e,7.5
p,9.22,p,n,29.18
e,5.83,x,y,15.09
p,6.2,s,r,11.92
e,5.91,c,n,12.16
p,2.19,c,w,3.24
p,3.62,b,n,6.35
p,5.6,b,g,13.27
p,15.05,x,n,36.33
p,3.34,x,w,8.09
e,10.47,x,n,13.51
e,8.3,p,w,11.45
p,9.74,x,n,30.28
p,6.07,x,e,9.32
e,10.01,x,n,17.24
e,3.11,b,n,3.07
e,7.73,x,u,13.89
p,4.47,s,n,6.06
e,9.39,x,n,18.13
p,2.9,x,n,3.68
e,7.73,x,y,13.37
e,16.32,p,e,33.9
e,3.73,x,e,6.33
e,6.34,b,k,10.16
e,7.89,x,g,14.25
e,4.04,f,n,7.36
p,11.88,x,g,14.33
p,11.37,x,n,30.49
p,4.2,b,n,6.73
e,4.28,f,n,7.23
e,7.92,p,w,11.45
e,1.46,f,g,2.51
p,5.79,s,y,7.06
p,4.7,x,w,12.3
e,8.18,x,n,13.4
e,2.87,f,n,4.52
p,8.09,f,r,15.39
e,5.53,x,n,12.15
e,1.33,c,n,1.28
e,4.3,f,g,3.93
p,3.21,b,n,2.48
p,5.42,c,y,12.02
p,2.84,x,w,2.36
p,6.73,x,n,9.59
p,12.67,s,n,17.3
p,3.4,f,r,5.87
p,7.97,f,u,14.4
p,1.18,b,y,2.44
p,5.83,b,n,6.56
p,6.45,x,g,10.79
p,2.81,f,g,8.37
p,0.85,x,y,0.86
p,7.4,x,w,13.87
p,2.41,s,o,4.75
e,3.3,f,n,6.39
p,9.24,s,n,11.32
e,8.5,x,n,10.1
p,22.99,s,w,32.81
e,7.82,p,n,13.85
p,8.21,x,y,9.05
e,8.88,x,n,18.2
e,7.72,f,n,13.56
p,5.23,f,n,8.3
e,5.12,c,n,10.46
e,9.46,s,y,22.84
p,7.99,f,e,17.35
p,2.81,x,e,2.83
e,3.14,x,w,5.79
e,3.36,s,p,5.94
e,10.63,p,n,62.03
p,3.39,o,w,27.6
p,0.82,x,o,1.02
p,3.75,o,y,0
e,9.04,f,y,18.08
p,0.75,x,o,0.98
p,8.94,s,p,14.31
e,11.58,x,n,22.37
e,3.78,b,n,3
p,3.91,x,o,5.6
p,14.61,x,g,23.99
p,1.02,x,w,1.52
e,5.8,x,n,11.74
p,10.6,x,n,28.86
e,7.44,x,y,12.13
p,1.21,f,y,5.64
p,16.83,x,n,36.07
e,1.56,f,g,2.64
p,3.05,b,n,6.59
p,3.4,x,n,3.56
p,8.73,x,n,15.83
e,1.61,c,n,1.72
p,16.69,f,o,17.45
e,3.4,x,e,7.05
e,0.59,c,e,0.82
e,5.22,x,n,6.04
p,1.98,f,l,2.51
p,2.96,b,n,5.61
p,8.1,x,n,7.35
e,7.85,x,w,28.41
e,6.79,s,w,9.19
p,2.46,p,n,2.64
p,8.74,x,n,30.46
e,5.36,o,n,37
p,6.97,x,w,13.01
e,9.8,f,n,15.51
p,3.44,x,y,7.99
e,5.3,f,g,7.97
e,17.89,p,o,33.96
p,1.17,o,n,1.23
p,7.86,x,n,9.31
e,10.32,x,n,22.87
p,16.16,x,n,30.85
e,9.96,f,w,13.3
e,1.27,p,g,1.55
e,8.99,x,n,12.82
e,5.08,o,n,40.77
e,6.06,x,n,11.75
e,4.74,x,w,6.93
e,9.85,f,r,23.75
e,4.94,f,n,7.58
e,3.13,x,n,6.31
p,8.11,b,w,11.9
p,11.75,x,g,16.94
p,5.51,f,g,8.47
p,4.11,x,w,12.2
p,7.44,s,e,11.3
e,8.07,x,n,17.64
p,8.04,x,e,18.34
p,4.03,b,e,3.56
p,2.36,b,g,2.12
p,1.27,x,n,2.23
p,5.3,s,y,6.6
p,18.77,x,o,38.72
e,10.63,f,b,21.3
e,8.53,x,e,14.45
p,4.45,s,e,7.28
p,15.03,f,e,18.36
e,1.47,f,n,2.62
e,8.18,f,w,33.61
e,6.64,f,e,14.83
p,1.3,b,n,1.35
e,7.58,p,n,14.64
p,6.89,f,p,10.09
p,3.05,f,y,5.85
p,0.72,b,y,2.21
p,16.44,f,n,27.21
p,5.23,s,e,6.32
p,2.38,p,n,2.59
e,6.64,c,n,13.01
p,15.4,f,n,32.14
p,7.49,s,r,11.67
p,15.22,f,o,17.46
e,8.12,s,n,22.31
p,7.55,x,y,8
p,1.29,b,n,1.43
p,9.73,s,p,13.91
e,4.09,f,w,6.06
e,3.56,f,n,6.38
e,3.9,x,o,11.12
p,0.61,x,e,0.94
p,5.92,x,r,16.09
e,6.02,x,n,12.53
p,10.29,x,u,21.15
e,8.68,f,e,20.93
p,7.98,b,w,16.54
p,6.09,x,e,9.18
p,1.48,x,l,2.25
p,3.85,o,w,0
p,4.58,x,e,8.29
p,7.9,f,u,16.92
e,11.37,f,y,13.5
p,6.97,s,n,8.61
p,2.75,x,r,6.22
p,3.15,f,u,4.24
p,4.2,b,w,3.86
p,6.95,x,u,18.63
e,1.49,x,y,2.12
e,3.78,x,n,9.71
p,3.21,o,w,34.12
p,4.84,x,o,7.8
e,7.22,f,n,12.63
p,2.58,x,n,2.51
e,19.42,p,n,63.97
e,5.05,x,n,9.18
p,0.65,x,o,0.81
p,6.93,x,e,10.61
p,7.56,x,n,8.41
e,5.75,s,w,8.44
e,4.36,f,n,6.63
e,3.7,f,w,7.06
p,3.63,b,n,4.47
e,7.93,x,w,9.38
p,2.91,x,n,3.41
e,6.45,c,n,11.57
e,7.36,x,y,12.61
p,2,b,n,1.85
e,4.02,f,n,6.99
p,5.92,b,k,7.7
e,7.65,x,n,18.97
p,4.37,s,u,6.59
p,2.6,b,y,5.51
p,3.99,o,o,0
e,13.1,f,n,19.85
e,6.72,s,w,8.94
p,4.16,b,l,7.35
p,5.52,o,g,0
e,7.39,f,y,14
p,16.11,f,e,17.88
p,7.64,b,w,19.13
p,12.46,x,r,18.21
e,8.72,s,n,25.45
e,8.68,f,w,12.58
e,5.42,x,n,3.48
p,17.23,x,o,17.92
p,22.7,x,n,42.18
e,11.06,x,l,23.3
e,18.02,x,g,26.91
p,16.24,s,n,25.24
p,9.27,f,p,11.64
p,8.54,x,o,19.83
p,2.98,x,e,6.08
p,7.5,s,g,12.73
e,3.56,s,n,8.16
p,26.9,f,k,46.55
p,2.74,x,n,3.48
p,4.65,x,y,6.03
p,4.35,o,y,0
e,8.31,x,y,25.74
p,5.27,x,e,12.43
p,10.56,x,n,33.95
e,6.85,x,y,12.8
p,8.9,f,r,16.9
p,11,x,g,14.55
e,9.13,p,w,12.45
p,6.2,x,y,7.43
p,6.34,f,n,9.27
p,4.76,c,y,11.73
e,5.36,o,n,43.7
p,5.34,s,y,6.44
p,2.47,b,g,2.13
e,4.22,x,e,7.71
p,10.86,x,r,12.77
p,2.52,p,n,2.61
p,4.32,b,y,6.9
p,21.29,x,o,35.64
p,3.41,f,w,7.28
e,5.7,o,g,19.2
p,4.52,x,n,6.59
e,5.09,x,g,4.92
p,3.93,f,n,4.68
e,12.41,s,u,24.17
e,46.99,o,y,26.83
p,11.83,x,n,27.75
e,8.44,x,n,12.05
p,6.6,x,n,7.21
p,2.32,f,n,3.91
e,5.25,x,o,6.15
p,3.65,f,e,6.69
e,1.75,x,y,1.82
p,3.9,b,n,4.44
p,0.75,x,y,0.74
p,3.48,s,w,2.79
e,4.73,x,w,8.87
e,8.8,x,l,22.82
p,1.87,f,l,2.54
e,8.81,x,n,12.71
e,4.26,x,y,9.56
e,8.89,s,p,17.42
e,14.17,x,n,17.09
e,6.73,o,n,23.34
p,3.44,b,k,2.77
e,5.38,x,y,4.49
p,3.71,o,w,29.52
p,4.15,x,y,3.56
p,6.36,p,g,13.14
e,20.62,p,o,36.91
p,7.57,b,w,11.76
e,8.66,s,n,19.65
p,8.26,f,e,17.32
e,9.88,f,n,25.08
e,7.95,x,y,13.32
p,5.12,x,o,8.7
p,6.81,c,y,12.92
e,10.54,f,u,21.17
p,5.48,p,g,11.6
e,20.86,x,n,75.43
p,9.65,f,e,23.18
e,3.84,x,w,6.5
p,3.32,b,p,3.27
p,3.2,f,y,5.54
e,1.15,f,n,1.08
p,18.07,x,w,32
p,10.47,o,n,24.24
p,4.72,c,y,12.31
p,2.79,x,e,5.12
e,6.22,x,w,11.77
e,5.95,f,n,9.52
e,0.9,b,w,1.36
e,8.11,x,n,9.4
p,6.76,b,w,9.79
p,7.26,f,e,17.24
p,2.12,f,o,5.74
e,7.77,x,y,15.61
p,4.24,f,e,4.89
p,3.71,x,n,10.34
p,0.68,x,o,0.72
p,5.59,s,r,10.67
p,3.11,b,k,2.57
p,3.2,o,g,0
e,11.54,s,w,25.75
e,3.7,b,n,3.16
p,6.33,f,y,16.38
e,7.04,x,n,9.49
p,6.19,x,p,9.41
e,2.04,s,n,3.06
p,4.11,o,o,0
p,3.76,f,w,3.18
p,5.93,x,p,13.42
p,3.42,x,n,3.1
e,4.18,b,g,3.49
p,0.8,x,o,1.07
p,2.15,b,n,2.09
e,8.96,x,n,18.69
e,8.58,x,g,27.06
p,7.25,x,n,7.71
e,6.22,x,y,16.47
e,5.33,x,l,8.29
p,1.27,x,y,5.52
p,8.08,x,n,16.67
p,3.01,o,g,0
p,3.89,b,n,5.6
e,3.74,x,n,10.7
e,3.13,s,n,8.95
p,4.3,x,y,11.67
p,1.41,o,n,1.31
p,6.76,f,r,9.53
p,2.61,b,r,5.6
p,2.21,b,w,3.67
p,5.47,b,o,7.98
e,2.99,s,y,7.08
e,8.09,x,g,25.71
p,3.59,f,n,2.93
e,12.43,s,w,26.64
p,5.6,f,n,6.8
e,4.22,x,w,7.39
e,5.32,x,w,4.47
p,6.67,x,r,13.09
p,7.17,x,n,25.2
e,7.96,x,y,15.85
e,9.77,x,y,23.46
e,4.15,x,n,10.19
p,1.22,f,l,2.09
e,8.43,x,n,17.4
p,10.41,x,y,20.19
e,10.05,x,y,20.69
e,6.6,f,o,12
p,3.31,f,u,5.65
p,3.66,x,o,6.25
e,5.54,x,y,13.98
p,4.29,s,o,5.96
p,4.17,s,n,4.55
p,2.44,b,o,2.94
e,7.64,x,n,13.17
p,11,x,o,24.67
p,2.83,x,o,6.3
p,10.83,f,n,14.94
p,3.92,f,n,4.33
p,11.08,o,e,24.94
e,6.73,b,k,9.72
e,9.92,x,n,17.97
p,4.22,o,n,0
p,6.79,f,e,17.79
p,11.61,x,y,33.64
p,3.6,f,p,3.38
p,5.43,s,e,5.54
p,5.46,s,o,6.47
p,2.96,s,g,7.99
p,5.5,x,e,8.76
p,5.37,x,o,6.93
p,3.19,f,b,2.89
p,6.95,x,y,7.91
p,1.13,c,y,2.77
p,4.82,o,n,0
